evaluation_date,vol_amount_26,total_balance,avg_amount_26,avg_amount_12,avg_week_amount_14,weighted_avg_day_26,avg_week_amount_20,vol_amount_13
738475,0.0,109.53,0.0,-401.6383333333333,-686.755,0.0,-10.59,0.0
738496,-0.026760825562963896,9.78,-103.17666666666666,0.0,-1686.1,0.2889703744386658,-5.01,0.0
738489,-0.4,-8.49,-37.5,-220.32000000000002,-1934.77,8.5,-615.9300000000001,0.0
738570,0.0,97.75,0.0,-102.48500000000001,-1144.21,0.0,-21.78,0.0
738510,-0.0,0.66,-8.72,0.0,-936.28,10.5,-38.4,0.0
738666,0.0,-78.2,0.0,-760.2416666666667,-1415.125,0.0,-216.505,-0.0
738504,0.0,-3.03,0.0,-7.625,-288.59000000000003,0.0,-119.81,0.0
738461,-0.15838859914403577,1195.23,-140.29833333333332,-1257.0200000000002,-2511.535,0.2741598260848903,-259.945,-0.07943009201746955
738613,0.0,30.04,0.0,-28.990000000000002,0.0,0.0,0.0,0.0
738476,0.0,80.65,0.0,-337.665,-1026.385,0.0,-113.835,0.0
738690,-0.0,1124.85,-30.0,-787.6114285714285,-3726.87,7.166666666666668,-295.2,-0.2248054924150253
738597,-1.1470527455414299,391.74,-226.564,-327.0657142857143,-4039.74,0.0029130841616531455,-108.11,-0.9070267152668932
738457,0.0,25.88,0.0,-566.91,-2443.005,0.0,-12.0,0.0
738594,0.0,157.73,0.0,0.0,-3409.835,0.0,-357.595,0.0
738460,0.0,271.98,0.0,-519.8383333333333,-1128.57,0.0,-248.33,-1.3678542139489493
738521,0.0,0.4,0.0,-23.01,-972.385,0.0,-20.875,-0.0
738574,-0.7367459875835884,521.29,-83.5,-483.3957142857143,-3499.67,7.302395209580839,-2045.42,-0.03995649609411206
738666,-0.08982319209608462,103.76,-320.635,-1616.3174999999999,-2691.71,5.0435775882233695,-51.39,-0.0
738466,-0.9058800957362898,1.54,-120.622,-946.2642857142857,-1441.905,9.873613437018122,-307.13,-0.5933475879138828
738482,0.0,4.62,0.0,11.003333333333368,-2783.84,0.0,-236.29,0.0
738677,0.0,327.93,0.0,-424.24666666666667,-2364.69,0.0,-10.4,0.0
738496,0.0,660.95,0.0,-911.4085714285715,-1774.29,0.0,-506.245,-0.3848861985960943
738499,-0.36230321848814057,425.58,-146.475,-110.33749999999999,-6668.525,4.549496501109402,0.0,0.0
738454,0.0,25.78,0.0,0.0,-2672.425,0.0,-128.19,0.0
738631,0.0,9.37,0.0,509.78000000000003,-1551.9250000000002,0.0,-406.33000000000004,-0.0
738678,-1.2575507143526627,2751.63,-561.0525,-1509.768,-527.02,2.166189884190869,-26.64,0.0
738470,-0.9032013700120827,91.66,-143.9375,0.0,-843.915,6.626356925749024,-62.715,0.0
738491,0.0,305.38,0.0,-671.55,-2640.49,0.0,-143.71,0.0
738644,0.0,213.67,0.0,-131.0,-1759.47,0.0,-89.45,-0.3834299679766063
738510,0.0,63.7,0.0,-1353.027142857143,-6828.05,0.0,-571.8,-4.623577213756854e-05
738647,0.0,598.16,0.0,-1231.172857142857,-3445.39,0.0,-187.51,0.0
738617,0.0,182.35,0.0,-140.51999999999998,-1919.8400000000001,0.0,-433.615,0.0
738650,0.0,146.56,0.0,-373.0166666666667,-171.67499999999998,0.0,0.0,0.0
738497,0.0,43.03,0.0,-502.3885714285714,-5966.13,0.0,-308.93,-0.0
738505,0.0,74.67,0.0,-298.775,-876.125,0.0,-15.825,-0.0
738488,0.0,101.7,0.0,757.835,-1578.38,0.0,-189.69,-0.060657033631465684
738664,0.0,-33.76,0.0,-77.33333333333333,-305.195,0.0,-83.175,0.0
738477,0.0,-7.97,0.0,-52.688,-902.06,0.0,-133.005,-0.0
738671,-1.374991398437639,-101.75,-43.798,-2005.0216666666665,-752.83,3.4086716288414998,-121.44,0.0
738660,0.0,107.12,0.0,-73.69166666666666,-498.03,0.0,0.0,0.0
738498,0.0,135.73,0.0,-134.735,-700.905,0.0,-40.205,0.0
738702,-1.141485338134022,509.74,-125.05333333333333,-476.375,-3035.165,7.7910758076554,-191.455,-0.09237836046145893
738477,0.0,537.55,0.0,-6.825000000000003,-1044.575,0.0,-140.1,0.0
738624,-0.8542638959015404,655.56,-135.0,-561.4399999999999,-823.69,0.9444444444444446,-360.2,0.0
738534,0.0,485.18,0.0,-95.06833333333334,-930.9200000000001,0.0,-23.82,-0.9869490405585362
738492,0.0,144.62,0.0,-863.6371428571429,-4318.98,0.0,0.0,-0.3963634296500742
738457,0.0,26.17,0.0,-187.36666666666667,-2171.81,0.0,-252.83,0.0
738694,0.0,43.62,0.0,-446.3233333333333,-2516.39,0.0,-76.25,0.0
738511,0.0,-49.63,0.0,-19.946666666666665,-186.35500000000002,0.0,-26.464999999999996,-0.36327657387212403
738462,-0.7141273455484586,106.91,-175.955,-140.14,-677.4849999999999,7.1420202135015565,-231.99,0.0
738698,-0.7696117554970285,-15.05,-96.5,-152.33333333333334,-4415.01,2.795336787564766,-532.89,-0.0
738480,-0.0,15.71,-509.36,-504.04,-1776.01,14.5,-30.315,0.0
738477,0.0,500.0,0.0,-646.5185714285715,-1449.38,0.0,-2640.9049999999997,-0.0
738684,0.0,-136.0,0.0,-88.49,-1240.92,0.0,-1008.4,0.0
738482,0.0,458.34,0.0,-383.67499999999995,-2517.6699999999996,0.0,-80.48,-0.1571656805967479
738683,0.0,12.85,0.0,-192.56833333333336,-403.90999999999997,0.0,0.0,0.0
738555,-0.0,12.42,-100.0,-123.89499999999998,-996.55,12.5,-168.53,0.0
738678,-0.48324940813514417,128.38,-275.90000000000003,-433.795,-1038.115,3.4224045979392113,-172.15,0.0
738638,0.0,78.62,0.0,-149.234,-894.78,0.0,-90.38,0.0
738645,-0.6866842452395986,-43.73,-129.408,-438.13142857142856,-684.575,0.6060830860534097,-118.98,-0.04396644971774703
738503,-0.0,1433.43,-19.98,-515.945,-1612.3799999999999,12.5,-60.32999999999999,-1.004732531560358
738458,0.0,1.15,0.0,-79.7225,-762.425,0.0,-73.965,-0.0
738498,-0.9680497635351047,483.24,-67.515,-288.42428571428565,-1088.025,3.7200251795897206,-118.535,-0.21518445052192317
738684,0.0,17.88,0.0,722.62,-1288.2,0.0,-353.975,-0.4089648095408693
738625,0.0,50.02,0.0,-403.95,-3042.775,0.0,0.0,-0.37723781133645495
738658,-0.2662303243374236,50.53,-265.095,-134.95,-457.74,0.48400573379354306,-10.66,0.0
